-79, 109, -98, -92, -4, -113, -8, -65, -47, -83, 105, 53, -42, -34, 113, -122, -31, 54, -60, 23, 81, 21, 39, 26, 107
109, -98, -92, -4, 54, -8, -65, -47, -83, -90, 53, -42, -34, 113, 64, -31, 54, -60, 23, -54, 21, 39, 26, 107, -73
-98, -92, -4, 54, 33, -65, -47, -83, -90, -126, -42, -34, 113, 64, 42, 54, -60, 23, -54, 64, 39, 26, 107, -73, -110
-92, -4, 54, 33, -94, -47, -83, -90, -126, 15, -34, 113, 64, 42, -52, -60, 23, -54, 64, 95, 26, 107, -73, -110, -22
-4, 54, 33, -94, -38, -83, -90, -126, 15, -79, 113, 64, 42, -52, -124, 23, -54, 64, 95, -27, 107, -73, -110, -22, 74
54, 33, -94, -38, -107, -90, -126, 15, -79, -106, 64, 42, -52, -124, -80, -54, 64, 95, -27, -114, -73, -110, -22, 74, 76
33, -94, -38, -107, 12, -126, 15, -79, -106, 26, 42, -52, -124, -80, -29, 64, 95, -27, -114, 89, -110, -22, 74, 76, -122
-94, -38, -107, 12, -4, 15, -79, -106, 26, -115, -52, -124, -80, -29, 95, 95, -27, -114, 89, -48, -22, 74, 76, -122, -65
-38, -107, 12, -4, 5, -79, -106, 26, -115, 111, -124, -80, -29, 95, -46, -27, -114, 89, -48, 0, 74, 76, -122, -65, 35
-107, 12, -4, 5, 7, -106, 26, -115, 111, 114, -80, -29, 95, -46, -52, -114, 89, -48, 0, -87, 76, -122, -65, 35, -92
12, -4, 5, 7, 122, 26, -115, 111, 114, 77, -29, 95, -46, -52, 44, 89, -48, 0, -87, -122, -122, -65, 35, -92, -6
-4, 5, 7, 122, -93, -115, 111, 114, 77, -113, 95, -46, -52, 44, -110, -48, 0, -87, -122, -81, -65, 35, -92, -6, -38
5, 7, 122, -93, 112, 111, 114, 77, -113, -39, -46, -52, 44, -110, -6, 0, -87, -122, -81, -51, 35, -92, -6, -38, -1
7, 122, -93, 112, -5, 114, 77, -113, -39, -78, -52, 44, -110, -6, -26, -87, -122, -81, -51, 41, -92, -6, -38, -1, 50
122, -93, 112, -5, 87, 77, -113, -39, -78, -39, 44, -110, -6, -26, -127, -122, -81, -51, 41, -23, -6, -38, -1, 50, -68
-93, 112, -5, 87, -85, -113, -39, -78, -39, 14, -110, -6, -26, -127, 11, -81, -51, 41, -23, -71, -38, -1, 50, -68, -54
112, -5, 87, -85, -31, -39, -78, -39, 14, -112, -6, -26, -127, 11, 20, -51, 41, -23, -71, 72, -1, 50, -68, -54, 46
-5, 87, -85, -31, 71, -78, -39, 14, -112, -61, -26, -127, 11, 20, -51, 41, -23, -71, 72, -96, 50, -68, -54, 46, -112
87, -85, -31, 71, 47, -39, 14, -112, -61, 46, -127, 11, 20, -51, 60, -23, -71, 72, -96, -32, -68, -54, 46, -112, -7
-85, -31, 71, 47, -6, 14, -112, -61, 46, 116, 11, 20, -51, 60, 86, -71, 72, -96, -32, 47, -54, 46, -112, -7, -33
-31, 71, 47, -6, 50, -112, -61, 46, 116, -115, 20, -51, 60, 86, 125, 72, -96, -32, 47, 70, 46, -112, -7, -33, 72
71, 47, -6, 50, -60, -61, 46, 116, -115, 7, -51, 60, 86, 125, 124, -96, -32, 47, 70, -128, -112, -7, -33, 72, -105
47, -6, 50, -60, -26, 46, 116, -115, 7, -118, 60, 86, 125, 124, -15, -32, 47, 70, -128, 22, -7, -33, 72, -105, -70
-6, 50, -60, -26, 108, 116, -115, 7, -118, -75, 86, 125, 124, -15, -9, 47, 70, -128, 22, 80, -33, 72, -105, -70, 0
50, -60, -26, 108, 62, -115, 7, -118, -75, -17, 125, 124, -15, -9, -15, 70, -128, 22, 80, 14, 72, -105, -70, 0, -41
-60, -26, 108, 62, 65, 7, -118, -75, -17, -91, 124, -15, -9, -15, 74, -128, 22, 80, 14, 33, -105, -70, 0, -41, -88
-26, 108, 62, 65, -72, -118, -75, -17, -91, -1, -15, -9, -15, 74, -73, 22, 80, 14, 33, -87, -70, 0, -41, -88, -18
108, 62, 65, -72, -31, -75, -17, -91, -1, -105, -9, -15, 74, -73, -76, 80, 14, 33, -87, 20, 0, -41, -88, -18, -49
-113, -8, -65, -47, -83, 105, 53, -42, -34, 113, -122, -31, 54, -60, 23, 81, 21, 39, 26, 107, 48, -35, 2, 54, 54
-8, -65, -47, -83, -90, 53, -42, -34, 113, 64, -31, 54, -60, 23, -54, 21, 39, 26, 107, -73, -35, 2, 54, 54, 97
-65, -47, -83, -90, -126, -42, -34, 113, 64, 42, 54, -60, 23, -54, 64, 39, 26, 107, -73, -110, 2, 54, 54, 97, -22
-47, -83, -90, -126, 15, -34, 113, 64, 42, -52, -60, 23, -54, 64, 95, 26, 107, -73, -110, -22, 54, 54, 97, -22, 93
-83, -90, -126, 15, -79, 113, 64, 42, -52, -124, 23, -54, 64, 95, -27, 107, -73, -110, -22, 74, 54, 97, -22, 93, -101
-90, -126, 15, -79, -106, 64, 42, -52, -124, -80, -54, 64, 95, -27, -114, -73, -110, -22, 74, 76, 97, -22, 93, -101, -38
-126, 15, -79, -106, 26, 42, -52, -124, -80, -29, 64, 95, -27, -114, 89, -110, -22, 74, 76, -122, -22, 93, -101, -38, 51
15, -79, -106, 26, -115, -52, -124, -80, -29, 95, 95, -27, -114, 89, -48, -22, 74, 76, -122, -65, 93, -101, -38, 51, 87
-79, -106, 26, -115, 111, -124, -80, -29, 95, -46, -27, -114, 89, -48, 0, 74, 76, -122, -65, 35, -101, -38, 51, 87, 12
-106, 26, -115, 111, 114, -80, -29, 95, -46, -52, -114, 89, -48, 0, -87, 76, -122, -65, 35, -92, -38, 51, 87, 12, 10
26, -115, 111, 114, 77, -29, 95, -46, -52, 44, 89, -48, 0, -87, -122, -122, -65, 35, -92, -6, 51, 87, 12, 10, -57
-115, 111, 114, 77, -113, 95, -46, -52, 44, -110, -48, 0, -87, -122, -81, -65, 35, -92, -6, -38, 87, 12, 10, -57, 48
111, 114, 77, -113, -39, -46, -52, 44, -110, -6, 0, -87, -122, -81, -51, 35, -92, -6, -38, -1, 12, 10, -57, 48, -89
114, 77, -113, -39, -78, -52, 44, -110, -6, -26, -87, -122, -81, -51, 41, -92, -6, -38, -1, 50, 10, -57, 48, -89, -1
77, -113, -39, -78, -39, 44, -110, -6, -26, -127, -122, -81, -51, 41, -23, -6, -38, -1, 50, -68, -57, 48, -89, -1, -3
-113, -39, -78, -39, 14, -110, -6, -26, -127, 11, -81, -51, 41, -23, -71, -38, -1, 50, -68, -54, 48, -89, -1, -3, -107
-39, -78, -39, 14, -112, -6, -26, -127, 11, 20, -51, 41, -23, -71, 72, -1, 50, -68, -54, 46, -89, -1, -3, -107, -27
-78, -39, 14, -112, -61, -26, -127, 11, 20, -51, 41, -23, -71, 72, -96, 50, -68, -54, 46, -112, -1, -3, -107, -27, -45
-39, 14, -112, -61, 46, -127, 11, 20, -51, 60, -23, -71, 72, -96, -32, -68, -54, 46, -112, -7, -3, -107, -27, -45, -41
14, -112, -61, 46, 116, 11, 20, -51, 60, 86, -71, 72, -96, -32, 47, -54, 46, -112, -7, -33, -107, -27, -45, -41, 2
-112, -61, 46, 116, -115, 20, -51, 60, 86, 125, 72, -96, -32, 47, 70, 46, -112, -7, -33, 72, -27, -45, -41, 2, 32
