67, 77, 87, 92, 98, 51, 55, 90, 93, 127, 106, 127, 126, 123, 122, 70, 111, 118, 93, 121, 90, 127, 74, 69, 86
41, 64, 95, 97, 50, 115, 81, 56, 123, 11, 44, 43, 44, 67, 97, 55, 70, 80, 97, 83, 62, 79, 87, 72, 37
51, 76, 0, 37, 53, 33, 98, 60, 60, 80, 32, 45, 44, 49, 15, 89, 53, 62, 81, 94, 63, 48, 54, 93, 61
12, 61, 70, 82, 62, 40, 95, 16, 43, 109, 127, 33, 109, 43, 96, 69, 108, 71, 56, 46, 43, 50, 57, 93, 74
27, 53, 54, 43, 80, 82, 127, 127, 74, 67, 108, 84, 94, 61, 126, 102, 63, 105, 81, 127, 81, 112, 85, 125, 100
127, 58, 75, 19, 41, 33, 94, 81, 50, 88, 43, 112, 49, 45, 98, 53, 59, 58, 82, 119, 67, 53, 78, 94, 89
75, 104, 124, 110, 85, 61, 127, 62, 81, 92, 101, 62, 77, 81, 120, 82, 123, 127, 91, 93, 110, 127, 72, 100, 113
82, 88, 62, 59, 85, 46, 78, 56, 51, 55, 111, 72, 79, 86, 59, 100, 107, 80, 87, 74, 58, 70, 65, 87, 80
65, 60, 76, 54, 56, 72, 97, 102, 55, 49, 29, 92, 98, 80, 102, 70, 49, 98, 70, 90, 108, 89, 56, 100, 66
54, 100, 60, 60, 91, 104, 64, 65, 64, 97, 60, 78, 106, 102, 76, 109, 91, 71, 113, 127, 72, 92, 75, 127, 86
65, 106, 60, 70, 55, 75, 93, 46, 115, 92, 70, 47, 98, 84, 96, 91, 79, 81, 116, 97, 62, 105, 103, 109, 127
99, 85, 92, 40, 86, 52, 72, 66, 101, 127, 70, 50, 86, 72, 110, 56, 87, 64, 112, 96, 85, 88, 97, 105, 99
61, 53, 89, 83, 48, 35, 79, 60, 57, 47, 43, 56, 93, 85, 110, 95, 127, 92, 60, 87, 89, 61, 111, 102, 98
62, 71, 64, 50, 57, 100, 71, 97, 30, 104, 55, 27, 60, 77, 81, 82, 52, 90, 64, 33, 49, 105, 55, 76, 85
56, 58, 34, 48, 78, 83, 99, 127, 75, 107, 99, 91, 70, 90, 118, 75, 75, 71, 87, 76, 113, 104, 67, 102, 120
47, 54, 95, 50, 84, 63, 99, 88, 60, 34, 57, 53, 58, 100, 106, 111, 100, 71, 103, 63, 88, 47, 46, 69, 44
